date,open,high,low,Close,Volume,adjclose,dividends
2023-03-17,49.849998474121094,51.150001525878906,49.79999923706055,50.099998474121094,11133214,40.67662811279297,0.0
2023-03-20,49.5,50.70000076293945,49.349998474121094,49.650001525878906,10222685,40.31127166748047,0.0
2023-03-21,49.79999923706055,50.349998474121094,49.099998474121094,49.400001525878906,7810138,40.10829162597656,0.0
2023-03-22,49.400001525878906,50.29999923706055,49.150001525878906,50.0,8581491,40.595436096191406,0.0
2023-03-23,50.0,50.150001525878906,49.25,50.099998474121094,9806183,40.67662811279297,0.0
2023-03-24,50.0,50.29999923706055,49.70000076293945,50.099998474121094,4385569,40.67662811279297,0.0
2023-03-27,50.25,51.0,50.0,50.349998474121094,7116668,40.87960433959961,0.0
2023-03-28,50.5,50.5,49.349998474121094,50.04999923706055,9725733,40.63603210449219,0.0
2023-03-29,50.25,50.75,49.599998474121094,49.849998474121094,10265104,40.47365188598633,0.0
2023-03-30,49.79999923706055,50.599998474121094,49.45000076293945,50.400001525878906,10299242,40.920204162597656,0.0
2023-03-31,50.79999923706055,51.099998474121094,50.25,50.5,10165584,41.00139236450195,0.0
2023-04-03,50.5,51.45000076293945,50.400001525878906,50.79999923706055,10991765,41.24496841430664,0.0
2023-04-04,50.95000076293945,50.95000076293945,50.20000076293945,50.650001525878906,7123402,41.1231803894043,0.0
2023-04-06,50.650001525878906,51.349998474121094,50.5,50.900001525878906,5280807,41.32615661621094,0.0
2023-04-11,51.400001525878906,51.70000076293945,50.849998474121094,51.04999923706055,7930852,41.447940826416016,0.0
2023-04-12,51.29999923706055,51.70000076293945,51.04999923706055,51.599998474121094,6023792,41.894493103027344,0.0
2023-04-13,51.04999923706055,51.54999923706055,50.599998474121094,51.54999923706055,4763543,41.85389709472656,0.0
2023-04-14,51.45000076293945,51.5,50.900001525878906,51.45000076293945,3675282,41.772705078125,0.0
2023-04-17,51.45000076293945,51.54999923706055,50.79999923706055,51.54999923706055,6998248,41.85389709472656,0.0
2023-04-18,51.599998474121094,51.79999923706055,51.20000076293945,51.70000076293945,5479791,41.975685119628906,0.0
2023-04-19,52.0,52.0,50.95000076293945,51.349998474121094,7210163,41.69151306152344,0.0
2023-04-20,51.20000076293945,51.20000076293945,50.45000076293945,50.650001525878906,7390483,41.1231803894043,0.0
2023-04-21,50.54999923706055,51.04999923706055,50.29999923706055,50.54999923706055,6491007,41.041988372802734,0.0
2023-04-24,50.45000076293945,50.95000076293945,50.25,50.400001525878906,7555690,40.920204162597656,0.0
2023-04-25,50.29999923706055,50.400001525878906,49.400001525878906,50.0,7224117,40.595436096191406,0.0
2023-04-26,50.0,51.099998474121094,49.95000076293945,50.54999923706055,7701756,41.041988372802734,0.0
2023-04-27,50.79999923706055,51.20000076293945,50.45000076293945,51.0,4208115,41.4073486328125,0.0
2023-04-28,51.0,51.45000076293945,51.0,51.20000076293945,6433956,41.56972885131836,0.0
2023-05-02,51.29999923706055,51.79999923706055,50.599998474121094,50.79999923706055,6940310,41.24496841430664,0.0
2023-05-03,50.29999923706055,50.79999923706055,50.20000076293945,50.75,5966324,41.204368591308594,0.0
2023-05-04,50.599998474121094,51.400001525878906,50.599998474121094,51.25,4658422,41.610321044921875,0.0
2023-05-05,51.400001525878906,51.75,51.20000076293945,51.54999923706055,4053934,41.85389709472656,0.0
2023-05-08,51.79999923706055,52.349998474121094,51.54999923706055,52.04999923706055,5191754,42.259849548339844,0.0
2023-05-09,52.04999923706055,52.400001525878906,50.650001525878906,50.650001525878906,8380991,41.1231803894043,0.0
2023-05-10,50.650001525878906,50.900001525878906,50.20000076293945,50.25,5294150,40.79841232299805,0.0
2023-05-11,50.25,50.599998474121094,49.650001525878906,50.0,7371358,40.595436096191406,0.0
2023-05-12,50.0,50.099998474121094,49.29999923706055,49.54999923706055,5604020,40.230079650878906,0.0
2023-05-15,49.5,50.75,49.45000076293945,50.5,4662453,41.00139236450195,0.0
2023-05-16,50.95000076293945,51.0,50.400001525878906,50.70000076293945,3617104,41.163780212402344,0.0
2023-05-17,50.70000076293945,50.900001525878906,49.70000076293945,50.04999923706055,6574932,40.63603210449219,0.0
2023-05-18,50.45000076293945,50.79999923706055,49.54999923706055,49.75,5486546,40.39246368408203,0.0
2023-05-19,49.75,50.04999923706055,49.349998474121094,49.70000076293945,4905493,40.35186767578125,0.0
2023-05-22,49.599998474121094,50.0,49.400001525878906,49.400001525878906,4447256,40.10829162597656,0.0
2023-05-23,49.400001525878906,49.54999923706055,49.099998474121094,49.29999923706055,4754893,40.027099609375,0.0
2023-05-24,48.95000076293945,49.400001525878906,48.79999923706055,49.20000076293945,3975990,39.9459114074707,0.0
2023-05-25,48.75,48.95000076293945,48.25,48.54999923706055,4355020,39.41817092895508,0.0
2023-05-29,48.20000076293945,48.54999923706055,47.45000076293945,47.70000076293945,6667690,38.72804641723633,0.0
2023-05-30,47.70000076293945,48.0,46.79999923706055,47.29999923706055,5466294,38.40328598022461,0.0
2023-05-31,47.0,47.650001525878906,44.349998474121094,45.5,24915403,36.94185256958008,0.0
2023-06-01,45.900001525878906,46.849998474121094,45.20000076293945,45.79999923706055,14049337,37.18541717529297,0.0
2023-06-02,46.0,47.400001525878906,45.95000076293945,47.150001525878906,8106287,38.281497955322266,0.0
2023-06-05,46.849998474121094,48.29999923706055,46.5,48.099998474121094,5750967,39.05280685424805,0.0
2023-06-06,47.79999923706055,47.849998474121094,47.29999923706055,47.650001525878906,4689869,38.68745040893555,0.0
2023-06-07,47.70000076293945,48.099998474121094,47.25,47.29999923706055,4259212,38.40328598022461,0.0
2023-06-08,47.04999923706055,47.5,46.150001525878906,46.79999923706055,9201198,37.99732971191406,0.0
2023-06-09,46.79999923706055,47.650001525878906,46.79999923706055,47.29999923706055,4950165,38.40328598022461,0.0
2023-06-12,47.400001525878906,47.54999923706055,47.04999923706055,47.400001525878906,3865457,38.48447799682617,0.0
2023-06-13,47.20000076293945,47.599998474121094,47.0,47.20000076293945,4886298,38.32209014892578,0.0
2023-06-14,47.099998474121094,47.349998474121094,46.54999923706055,46.75,6666482,37.95673370361328,0.0
2023-06-15,45.70000076293945,46.349998474121094,45.20000076293945,45.349998474121094,8033306,37.780120849609375,1.188
2023-06-16,45.45000076293945,47.0,45.45000076293945,46.25,12930995,38.52988815307617,0.0
2023-06-19,46.29999923706055,46.70000076293945,45.849998474121094,46.400001525878906,4550950,38.65485382080078,0.0
2023-06-20,46.349998474121094,46.400001525878906,45.599998474121094,46.04999923706055,3900313,38.363277435302734,0.0
2023-06-21,45.75,45.75,45.20000076293945,45.25,6361306,37.696815490722656,0.0
2023-06-23,45.0,45.099998474121094,44.0,44.099998474121094,11124613,36.738773345947266,0.0
2023-06-26,44.29999923706055,44.349998474121094,43.599998474121094,43.599998474121094,7888423,36.322235107421875,0.0
2023-06-27,43.650001525878906,44.20000076293945,43.650001525878906,44.099998474121094,3549352,36.738773345947266,0.0
2023-06-28,43.70000076293945,44.29999923706055,43.70000076293945,44.20000076293945,3068643,36.82208251953125,0.0
2023-06-29,44.20000076293945,44.400001525878906,43.54999923706055,43.650001525878906,4421714,36.3638916015625,0.0
2023-06-30,43.349998474121094,44.150001525878906,43.349998474121094,43.5,6229627,36.238922119140625,0.0
2023-07-03,43.70000076293945,44.20000076293945,43.650001525878906,44.099998474121094,4419879,36.738773345947266,0.0
2023-07-04,43.900001525878906,44.5,43.900001525878906,44.349998474121094,3482239,36.94704055786133,0.0
2023-07-05,44.0,44.349998474121094,43.650001525878906,43.650001525878906,5714918,36.3638916015625,0.0
2023-07-06,43.599998474121094,43.900001525878906,42.95000076293945,43.25,9985188,36.03065872192383,0.0
2023-07-07,43.0,43.099998474121094,41.849998474121094,41.95000076293945,8662048,34.947654724121094,0.0
2023-07-10,42.29999923706055,42.349998474121094,41.900001525878906,42.0,4391527,34.98930740356445,0.0
2023-07-11,42.29999923706055,42.45000076293945,41.95000076293945,42.29999923706055,4562844,35.23923110961914,0.0
2023-07-12,42.70000076293945,43.29999923706055,42.29999923706055,42.45000076293945,5243660,35.36419677734375,0.0
2023-07-13,43.349998474121094,43.79999923706055,43.04999923706055,43.650001525878906,11530447,36.3638916015625,0.0
2023-07-14,43.70000076293945,44.04999923706055,43.599998474121094,43.75,5862273,36.44719696044922,0.0
2023-07-18,43.900001525878906,44.0,42.849998474121094,43.150001525878906,3633088,35.94735336303711,0.0
2023-07-19,42.79999923706055,43.150001525878906,42.54999923706055,43.150001525878906,4318017,35.94735336303711,0.0
2023-07-20,43.150001525878906,44.29999923706055,43.150001525878906,43.900001525878906,5752111,36.57215881347656,0.0
2023-07-21,44.0,44.29999923706055,43.70000076293945,44.150001525878906,5419313,36.780426025390625,0.0
2023-07-24,43.650001525878906,43.70000076293945,42.54999923706055,43.20000076293945,4427566,35.9890022277832,0.0
2023-07-25,43.599998474121094,44.04999923706055,43.349998474121094,43.75,5089274,36.44719696044922,0.0
2023-07-26,44.0,44.20000076293945,43.79999923706055,44.04999923706055,3987333,36.69712448120117,0.0
2023-07-27,44.29999923706055,45.0,43.95000076293945,44.849998474121094,5449408,37.36358642578125,0.0
2023-07-28,44.45000076293945,44.900001525878906,44.04999923706055,44.099998474121094,6923722,36.738773345947266,0.0
2023-07-31,43.95000076293945,44.150001525878906,43.150001525878906,43.650001525878906,9757081,36.3638916015625,0.0
2023-08-01,43.95000076293945,44.0,43.0,43.20000076293945,5106480,35.9890022277832,0.0
2023-08-02,43.20000076293945,43.20000076293945,42.25,42.5,7494142,35.40584945678711,0.0
2023-08-03,42.349998474121094,42.70000076293945,42.150001525878906,42.29999923706055,5199747,35.23923110961914,0.0
2023-08-04,42.5,42.900001525878906,41.95000076293945,42.0,5701507,34.98930740356445,0.0
