date,open,high,low,Close,Volume,adjclose,dividends,splits
2023-03-17,1.850000023841858,1.899999976158142,1.840000033378601,1.899999976158142,98600,1.5876749753952026,0.0,0.0
2023-03-20,1.9800000190734863,1.9800000190734863,1.8700000047683716,1.8700000047683716,6200,1.5626064538955688,0.0,0.0
2023-03-21,1.8700000047683716,1.8799999952316284,1.850000023841858,1.8700000047683716,97200,1.5626064538955688,0.0,0.0
2023-03-22,1.8600000143051147,1.8799999952316284,1.809999942779541,1.8700000047683716,90600,1.5626064538955688,0.0,0.0
2023-03-23,1.8700000047683716,1.8799999952316284,1.8300000429153442,1.8799999952316284,21600,1.57096266746521,0.0,0.0
2023-03-24,1.8700000047683716,1.940000057220459,1.840000033378601,1.850000023841858,243000,1.5458940267562866,0.0,0.0
2023-03-27,1.850000023841858,1.9299999475479126,1.8300000429153442,1.8700000047683716,570000,1.5626064538955688,0.0,0.0
2023-03-28,1.840000033378601,1.8799999952316284,1.7999999523162842,1.8700000047683716,165400,1.5626064538955688,0.0,0.0
2023-03-29,1.8600000143051147,1.940000057220459,1.7799999713897705,1.899999976158142,314200,1.5876749753952026,0.0,0.0
2023-03-30,1.8600000143051147,1.8899999856948853,1.840000033378601,1.8799999952316284,119600,1.57096266746521,0.0,0.0
2023-03-31,1.9199999570846558,1.9199999570846558,1.850000023841858,1.899999976158142,284200,1.5876749753952026,0.0,0.0
2023-04-03,1.8799999952316284,1.899999976158142,1.8200000524520874,1.899999976158142,265800,1.5876749753952026,0.0,0.0
2023-04-04,1.9199999570846558,1.9199999570846558,1.840000033378601,1.840000033378601,101000,1.537537932395935,0.0,0.0
2023-04-06,1.840000033378601,1.840000033378601,1.8300000429153442,1.840000033378601,76400,1.537537932395935,0.0,0.0
2023-04-11,1.840000033378601,1.8600000143051147,1.8300000429153442,1.8300000429153442,140400,1.529181718826294,0.0,0.0
2023-04-12,1.8300000429153442,1.8700000047683716,1.8300000429153442,1.8700000047683716,93600,1.5626064538955688,0.0,0.0
2023-04-13,1.8700000047683716,1.940000057220459,1.850000023841858,1.8799999952316284,237600,1.57096266746521,0.0,0.0
2023-04-14,1.8700000047683716,1.9199999570846558,1.840000033378601,1.899999976158142,198800,1.5876749753952026,0.0,0.0
2023-04-17,1.8600000143051147,1.899999976158142,1.809999942779541,1.8899999856948853,155400,1.5793187618255615,0.0,0.0
2023-04-18,1.840000033378601,1.909999966621399,1.7999999523162842,1.8899999856948853,144600,1.5793187618255615,0.0,0.0
2023-04-19,1.8200000524520874,1.9199999570846558,1.8200000524520874,1.909999966621399,63600,1.5960311889648438,0.0,0.0
2023-04-20,1.8899999856948853,1.8899999856948853,1.8600000143051147,1.8899999856948853,93000,1.5793187618255615,0.0,0.0
2023-04-21,1.8899999856948853,1.9299999475479126,1.8899999856948853,1.9199999570846558,64200,1.6043872833251953,0.0,0.0
2023-04-24,1.9199999570846558,1.9600000381469727,1.9199999570846558,1.9600000381469727,159200,1.6378121376037598,0.0,0.0
2023-04-25,1.9600000381469727,1.9800000190734863,1.8700000047683716,1.8899999856948853,383400,1.5793187618255615,0.0,0.0
2023-04-26,1.9600000381469727,1.9600000381469727,1.899999976158142,1.899999976158142,296200,1.5876749753952026,0.0,0.0
2023-04-27,1.8899999856948853,1.9500000476837158,1.8899999856948853,1.940000057220459,143800,1.6210997104644775,0.0,0.0
2023-04-28,1.9600000381469727,1.9600000381469727,1.899999976158142,1.9500000476837158,19200,1.6294559240341187,0.0,0.0
2023-05-02,1.9199999570846558,2.0199999809265137,1.8799999952316284,1.8899999856948853,644800,1.5793187618255615,0.0,0.0
2023-05-03,1.899999976158142,1.899999976158142,1.8600000143051147,1.8600000143051147,199800,1.5542502403259277,0.0,0.0
2023-05-04,1.8600000143051147,1.8899999856948853,1.8600000143051147,1.8700000047683716,210389,1.5626064538955688,0.0,0.0
2023-05-05,1.8600000143051147,1.8899999856948853,1.8600000143051147,1.8899999856948853,65800,1.5793187618255615,0.0,0.0
2023-05-08,1.8600000143051147,1.9500000476837158,1.8600000143051147,1.8700000047683716,260800,1.5626064538955688,0.0,0.0
2023-05-09,1.8700000047683716,1.9199999570846558,1.8799999952316284,1.909999966621399,30000,1.5960311889648438,0.0,0.0
2023-05-10,1.9299999475479126,1.9600000381469727,1.899999976158142,1.940000057220459,198800,1.6210997104644775,0.0,0.0
2023-05-11,1.9299999475479126,1.9800000190734863,1.899999976158142,1.940000057220459,265600,1.6210997104644775,0.0,0.0
2023-05-12,1.9199999570846558,1.9199999570846558,1.909999966621399,1.909999966621399,104800,1.5960311889648438,0.0,0.0
