date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Adj Close,dividends
2021-03-16,570.3576422227663,574.3742078813623,557.8615288478223,562.7706909179688,21200125,0.0,0.0,,
2021-03-17,557.415283203125,570.3576960042398,555.1838510605281,557.415283203125,20718031,0.0,0.0,,
2021-03-18,566.7873706567455,581.5149173925801,564.1096402590207,571.696533203125,24258336,0.0,0.0,,
2021-03-19,560.5392456054688,569.911330412961,556.9689191411828,560.5392456054688,24450964,0.0,0.0,,
2021-03-22,562.7707558810621,574.3742741839005,561.8782184631725,565.448486328125,15200343,0.0,0.0,,
2021-03-23,575.2667811959305,575.2667811959305,559.2004010132315,560.9855346679688,15845913,0.0,0.0,,
2021-03-24,563.2169990542492,569.0187576382411,549.8283481283797,556.5226440429688,19578933,0.0,0.0,,
2021-03-25,535.5471272554753,555.1838359499225,525.2824451241929,540.902587890625,48044038,0.0,0.0,,
2021-03-26,540.9025678895509,564.1096025148645,540.4562696703422,553.398681640625,26565370,0.0,0.0,,
2021-03-29,553.3987103246977,555.1838441973683,535.9933743568573,546.258056640625,31467316,0.0,0.0,,
2021-03-30,547.5969995192656,554.2912964529486,541.348941770468,544.0266723632812,22298924,0.0,0.0,,
2021-03-31,551.6134946845308,554.737523155831,543.580303942627,544.472900390625,17291203,0.0,0.0,,
2021-04-01,560.0930039355571,585.5315308512761,554.7375432469936,583.746337890625,35692168,0.0,0.0,,
2021-04-07,582.8537765777513,587.3166406027649,556.5226542627391,561.878173828125,29482285,0.0,0.0,,
2021-04-08,548.0431621068132,561.4318722963046,548.0431621068132,553.398681640625,268356622,0.0,0.0,,
2021-04-09,561.4318610491424,561.4318610491424,549.3820457586709,553.8449096679688,24367916,0.0,0.0,,
2021-04-12,549.8283558309148,552.9523842734973,538.2248385003774,547.596923828125,30351587,0.0,0.0,,
2021-04-13,547.5970274267136,555.1839213102222,541.7952085671202,542.6878051757812,20003360,0.0,0.0,,
2021-04-14,554.2912120714391,557.8615386839015,549.3820499147356,556.5226440429688,19525541,0.0,0.0,,
2021-04-15,556.5226509817014,556.5226509817014,544.9191336690446,553.398681640625,15781867,0.0,0.0,,
2021-04-16,553.3987578269703,564.5559784564317,549.8284306784666,564.1096801757812,22516576,0.0,0.0,,
2021-04-19,562.3245180657916,574.8205738164156,553.3987301886617,559.646728515625,21957212,0.0,0.0,,
2021-04-20,553.3986949003076,558.7541554657466,551.613501980699,555.630126953125,16518819,0.0,0.0,,
2021-04-21,548.4894847017065,549.828379418835,542.6877257875393,543.580322265625,22412262,0.0,0.0,,
2021-04-22,554.7374358490714,557.415165674941,549.828274351091,554.2911376953125,16681244,0.0,0.0,,
2021-04-23,560.093054746627,564.1096801757812,554.291295291571,564.1096801757812,17679003,0.0,0.0,,
2021-04-26,564.1095628862748,571.2501566019117,558.3078046375189,560.9855346679688,15403758,0.0,0.0,,
2021-04-27,556.5226775440946,557.861572265625,550.2746794670376,557.861572265625,15000735,0.0,0.0,,
2021-04-28,554.2911890671405,560.5392456054688,551.1671607979765,560.5392456054688,12146108,0.0,0.0,,
2021-04-29,570.8039219103317,570.8039219103317,560.9855389918798,563.6632690429688,13523125,0.0,0.0,,
2021-04-30,560.0929818251409,560.0929818251409,553.3986857770502,556.076416015625,13011490,0.0,0.0,,
2021-05-03,552.9524189179313,557.415283203125,550.2746885274757,557.415283203125,8617701,0.0,0.0,,
2021-05-04,557.4153312607614,557.8616295470976,552.5061683044648,555.1838989257812,6862858,0.0,0.0,,
2021-05-05,549.3821130053948,550.720948703387,544.919189453125,544.919189453125,12612494,0.0,0.0,,
2021-05-06,548.4895164756012,552.5061417629742,537.7785945048709,544.919189453125,23222240,0.0,0.0,,
2021-05-07,547.1506367065259,547.1506367065259,535.547119140625,535.547119140625,18943197,0.0,0.0,,
2021-05-10,534.6545554694677,542.687746793091,526.6213641458444,531.084228515625,22281136,0.0,0.0,,
2021-05-11,519.4806651766405,523.050991820781,505.64571591437465,521.7120971679688,37552039,0.0,0.0,,
2021-05-12,521.7120776786342,538.2248156296662,521.7120776786342,534.2081909179688,24845424,0.0,0.0,,
2021-05-13,529.2990120740499,531.0841457243363,517.6954956054688,517.6954956054688,19503878,0.0,0.0,,
2021-05-14,515.0178302951491,524.8361552504565,512.3400999349112,520.373291015625,17371562,0.0,0.0,,
2021-05-17,529.2990511625086,539.5636738288962,525.7287245015813,535.9933471679688,20791791,0.0,0.0,,
2021-05-18,541.7951568164236,544.0266481249306,535.1008601809958,542.241455078125,13221629,0.0,0.0,,
2021-05-20,545.3654561251016,549.3820811797922,538.6711598295435,543.580322265625,16956713,0.0,0.0,,
2021-05-21,535.5470911063917,535.5470911063917,520.8195458054824,525.2824096679688,43760440,0.0,0.0,,
2021-05-24,525.0457493529067,526.3885450678031,516.0935605914493,524.1505126953125,18016223,1.6,0.0,,
2021-05-25,527.7314378910941,548.7690859524353,526.8362011693139,546.0834350585938,29337091,0.0,0.0,,
2021-05-26,559.064098657359,559.064098657359,547.8738761708541,553.2451782226562,20313763,0.0,0.0,,
2021-05-27,546.0833761473874,548.7690267515022,538.9216016887526,542.0548706054688,27927261,0.0,0.0,,
2021-05-28,544.292918713358,547.8738060467308,538.0263806978292,538.4739990234375,16470119,0.0,0.0,,
2021-05-31,547.8738424277232,554.5879992147071,540.2645082015736,554.140380859375,16833640,0.0,0.0,,
2021-06-01,554.14037417585,565.7782141881248,552.3499007761169,562.1973266601562,19570899,0.0,0.0,,
2021-06-02,567.5686419203801,572.9399437053287,559.9593076036194,562.6449584960938,17716492,0.0,0.0,,
2021-06-03,562.6449195640703,563.5401562234491,547.8738110417939,551.007080078125,13353978,0.0,0.0,,
2021-06-04,546.0833518543619,550.1117979455787,542.5024647843436,547.4261474609375,20546029,0.0,0.0,,
2021-06-07,546.9786040047709,547.4262223587017,535.7883822424938,537.5787963867188,21443030,0.0,0.0,,
2021-06-08,542.5025526026299,542.5025526026299,534.4455998444769,538.0264282226562,11199399,0.0,0.0,,
2021-06-09,537.1312436474477,542.5025454150524,534.8931518513633,539.81689453125,8425280,0.0,0.0,,
2021-06-10,541.6073023005977,544.7405715066151,535.340763888563,537.5787963867188,12721726,0.0,0.0,,
2021-06-11,544.7405758555199,544.7405758555199,533.5503540039062,533.5503540039062,15725544,0.0,0.0,,
2021-06-15,541.6072904845968,541.6072904845968,529.9694506222863,537.1312255859375,12508921,0.0,0.0,,
2021-06-16,534.4455431223279,535.7883388037557,532.207451534126,533.9979248046875,10599375,0.0,0.0,,
2021-06-17,531.7598984948235,536.2360229492188,529.5218659033761,536.2360229492188,14939241,0.0,0.0,,
2021-06-18,538.9216578128163,544.292959580421,536.6836252882308,539.81689453125,13344383,0.0,0.0,,
