date,Open,High,Low,Close,Volume,Adj Close
2023-03-17,24.0,24.0,22.649999618530273,22.799999237060547,1760500.0,22.799999237060547
2023-03-20,22.799999237060547,22.799999237060547,21.100000381469727,21.850000381469727,3258140.0,21.850000381469727
2023-03-21,22.100000381469727,23.0,21.25,22.799999237060547,3089520.0,22.799999237060547
2023-03-22,23.299999237060547,24.399999618530273,23.0,23.100000381469727,1993430.0,23.100000381469727
2023-03-23,23.0,23.149999618530273,22.0,23.100000381469727,2654500.0,23.100000381469727
2023-03-24,22.950000762939453,22.950000762939453,21.799999237060547,22.100000381469727,2080500.0,22.100000381469727
2023-03-27,22.399999618530273,22.399999618530273,21.5,21.950000762939453,2784170.0,21.950000762939453
2023-03-28,21.600000381469727,21.950000762939453,20.899999618530273,21.049999237060547,3441116.0,21.049999237060547
2023-03-29,21.149999618530273,21.649999618530273,20.299999237060547,21.149999618530273,2065000.0,21.149999618530273
2023-03-30,21.149999618530273,21.399999618530273,20.600000381469727,21.299999237060547,2542500.0,21.299999237060547
2023-03-31,21.399999618530273,21.399999618530273,20.100000381469727,20.649999618530273,2806000.0,20.649999618530273
2023-04-03,20.600000381469727,20.600000381469727,19.219999313354492,20.149999618530273,5138000.0,20.149999618530273
2023-04-04,20.149999618530273,21.100000381469727,19.219999313354492,21.049999237060547,4101736.0,21.049999237060547
2023-04-06,20.799999237060547,22.549999237060547,20.200000762939453,22.399999618530273,4853030.0,22.399999618530273
2023-04-11,23.899999618530273,25.450000762939453,23.049999237060547,23.600000381469727,11350886.0,23.600000381469727
2023-04-12,24.600000381469727,25.149999618530273,24.200000762939453,25.0,4527699.0,25.0
2023-04-13,25.0,27.25,24.350000381469727,27.100000381469727,7034309.0,27.100000381469727
2023-04-14,27.850000381469727,29.5,27.0,28.649999618530273,6393100.0,28.649999618530273
2023-04-17,28.75,28.850000381469727,26.649999618530273,26.950000762939453,4263132.0,26.950000762939453
2023-04-18,27.399999618530273,27.899999618530273,26.700000762939453,27.549999237060547,2579368.0,27.549999237060547
2023-04-19,27.549999237060547,27.75,26.25,27.200000762939453,2313500.0,27.200000762939453
2023-04-20,27.149999618530273,27.149999618530273,25.75,26.049999237060547,2842500.0,26.049999237060547
2023-04-21,25.899999618530273,26.75,25.25,26.100000381469727,1465500.0,26.100000381469727
2023-04-24,26.0,27.200000762939453,25.700000762939453,26.450000762939453,2300000.0,26.450000762939453
2023-04-25,26.350000381469727,26.350000381469727,24.600000381469727,24.950000762939453,2825000.0,24.950000762939453
2023-04-26,24.299999237060547,24.600000381469727,23.350000381469727,24.299999237060547,4477006.0,24.299999237060547
2023-04-27,23.850000381469727,24.25,23.149999618530273,24.100000381469727,1933500.0,24.100000381469727
2023-04-28,24.200000762939453,25.100000381469727,23.950000762939453,24.049999237060547,1450102.0,24.049999237060547
2023-05-02,24.0,24.200000762939453,23.100000381469727,23.600000381469727,719414.0,23.600000381469727
2023-05-03,23.049999237060547,23.549999237060547,22.75,23.350000381469727,721000.0,23.350000381469727
2023-05-04,23.350000381469727,24.450000762939453,23.200000762939453,24.350000381469727,2309800.0,24.350000381469727
2023-05-05,24.5,26.149999618530273,24.350000381469727,25.149999618530273,2359500.0,25.149999618530273
2023-05-08,25.299999237060547,26.0,24.049999237060547,24.649999618530273,2056930.0,24.649999618530273
2023-05-09,24.5,24.5,22.600000381469727,23.0,3278740.0,23.0
2023-05-10,22.649999618530273,23.0,22.049999237060547,22.600000381469727,2311770.0,22.600000381469727
2023-05-11,22.700000762939453,23.100000381469727,22.100000381469727,22.350000381469727,1591000.0,22.350000381469727
2023-05-12,22.399999618530273,22.5,21.549999237060547,21.600000381469727,1694000.0,21.600000381469727
2023-05-15,21.149999618530273,22.200000762939453,21.149999618530273,21.899999618530273,1946328.0,21.899999618530273
2023-05-16,22.299999237060547,22.899999618530273,22.0,22.100000381469727,1613500.0,22.100000381469727
2023-05-17,21.899999618530273,21.950000762939453,20.649999618530273,20.899999618530273,2975500.0,20.899999618530273
2023-05-18,20.899999618530273,21.25,20.600000381469727,20.700000762939453,1397624.0,20.700000762939453
2023-05-19,20.299999237060547,20.5,19.860000610351562,20.25,2001000.0,20.25
2023-05-22,20.0,21.0,20.0,20.600000381469727,843000.0,20.600000381469727
2023-05-23,20.600000381469727,21.350000381469727,20.5,20.899999618530273,1181000.0,20.899999618530273
2023-05-24,20.649999618530273,21.149999618530273,20.450000762939453,20.600000381469727,976500.0,20.600000381469727
2023-05-25,20.350000381469727,20.399999618530273,19.399999618530273,20.149999618530273,2030500.0,20.149999618530273
