date,Open,High,Low,Close,Volume,Adj Close,dividends,splits
2023-03-17,67.53333282470703,68.86666870117188,67.19999694824219,68.33333587646484,36092469.0,66.24833679199219,0.0,0.0
2023-03-20,67.66666412353516,68.0,65.66666412353516,66.36666870117188,14553570.0,64.34169006347656,0.0,0.0
2023-03-21,66.36666870117188,67.5999984741211,65.4000015258789,67.33333587646484,14320311.0,65.27885437011719,0.0,0.0
2023-03-22,67.80000305175781,71.06666564941406,67.80000305175781,68.73332977294922,30461619.0,66.63613891601562,0.0,0.0
2023-03-23,69.0,70.5999984741211,68.4000015258789,70.33333587646484,17624064.0,68.18731689453125,0.0,0.0
2023-03-24,70.33333587646484,71.66666412353516,69.66666412353516,70.4000015258789,11445435.0,68.251953125,0.0,0.0
2023-03-27,70.4000015258789,70.66666412353516,68.80000305175781,69.33333587646484,11464887.0,67.21783447265625,0.0,0.0
2023-03-28,70.26666259765625,70.93333435058594,69.06666564941406,70.46666717529297,17881584.0,68.31658172607422,0.0,0.0
2023-03-29,72.33333587646484,73.19999694824219,71.73332977294922,72.66666412353516,32179782.0,70.44945526123047,0.0,0.0
2023-03-30,74.33333587646484,75.46666717529297,73.4000015258789,75.06666564941406,39669351.0,72.77622985839844,0.0,0.0
2023-03-31,76.66666412353516,78.0,75.86666870117188,76.5999984741211,43996623.0,74.26277160644531,0.0,0.0
2023-04-03,77.66666412353516,77.86666870117188,75.86666870117188,77.13333129882812,19184235.0,74.77983093261719,0.0,0.0
2023-04-04,77.46666717529297,77.46666717529297,75.0,75.73332977294922,18764919.0,73.42255401611328,0.0,0.0
2023-04-06,74.73332977294922,75.86666870117188,73.46666717529297,75.80000305175781,15249753.0,73.48719024658203,0.0,0.0
2023-04-11,75.93333435058594,77.19999694824219,75.13333129882812,75.93333435058594,16191027.0,73.616455078125,0.0,0.0
2023-04-12,76.33333587646484,76.33333587646484,73.53333282470703,74.19999694824219,15311466.0,71.93599700927734,0.0,0.0
2023-04-13,72.80000305175781,74.19999694824219,72.0,74.06666564941406,14236899.0,71.8067398071289,0.0,0.0
2023-04-14,74.5999984741211,76.53333282470703,74.4000015258789,75.5999984741211,12153210.0,73.29328918457031,0.0,0.0
2023-04-17,75.13333129882812,77.80000305175781,74.86666870117188,77.26666259765625,23026872.0,74.90909576416016,0.0,0.0
2023-04-18,77.26666259765625,77.80000305175781,76.13333129882812,76.53333282470703,15999609.0,74.1981430053711,0.0,0.0
2023-04-19,76.80000305175781,77.13333129882812,75.33333587646484,76.53333282470703,17067513.0,74.1981430053711,0.0,0.0
2023-04-20,76.0,76.33333587646484,75.06666564941406,75.86666870117188,16272159.0,73.55181884765625,0.0,0.0
2023-04-21,75.33333587646484,75.86666870117188,73.13333129882812,73.93333435058594,18727773.0,71.67747497558594,0.0,0.0
2023-04-24,74.13333129882812,77.86666870117188,73.93333435058594,76.5999984741211,22247181.0,74.26277160644531,0.0,0.0
2023-04-25,76.86666870117188,76.93333435058594,73.66666412353516,74.33333587646484,20610963.0,72.06527709960938,0.0,0.0
2023-04-26,74.0,77.66666412353516,73.53333282470703,77.5999984741211,20979186.0,75.23226928710938,0.0,0.0
2023-04-27,78.0,79.46666717529297,77.26666259765625,78.66666412353516,31457763.0,76.2663803100586,0.0,0.0
2023-04-28,80.46666717529297,80.53333282470703,78.06666564941406,78.66666412353516,34175769.0,76.2663803100586,0.0,0.0
2023-05-02,79.66666412353516,80.26666259765625,76.66666412353516,77.26666259765625,15301305.0,74.90909576416016,0.0,0.0
2023-05-03,76.33333587646484,77.53333282470703,75.66666412353516,77.33333587646484,11203521.0,74.9737319946289,0.0,0.0
2023-05-04,77.80000305175781,79.26666259765625,77.66666412353516,78.06666564941406,13546872.0,75.68468475341797,0.0,0.0
2023-05-05,78.4000015258789,79.13333129882812,77.53333282470703,78.33333587646484,10556790.0,75.94322967529297,0.0,0.0
2023-05-08,79.0,80.53333282470703,79.0,80.0,16793157.0,77.55903625488281,0.0,0.0
2023-05-09,80.0,80.33333587646484,78.80000305175781,79.19999694824219,16008321.0,76.78343963623047,0.0,0.0
2023-05-10,79.19999694824219,82.33333587646484,78.26666259765625,81.13333129882812,25517367.0,78.65778350830078,0.0,0.0
2023-05-11,82.26666259765625,83.73332977294922,81.46666717529297,82.06666564941406,21627009.0,79.5626449584961,0.0,0.0
2023-05-12,83.06666564941406,83.19999694824219,80.53333282470703,81.06666564941406,13728978.0,78.59315490722656,0.0,0.0
2023-05-15,80.19999694824219,82.33333587646484,79.26666259765625,81.80000305175781,12253446.0,79.30411529541016,0.0,0.0
2023-05-16,82.5999984741211,82.5999984741211,80.93333435058594,81.4000015258789,8089299.0,78.91632080078125,0.0,0.0
2023-05-17,81.46666717529297,81.5999984741211,79.13333129882812,79.86666870117188,15147552.0,77.42977142333984,0.0,0.0
