date,Open,High,Low,Close,Volume,Adj Close,dividends
2023-03-17,43.150001525878906,43.5,42.25,42.650001525878906,7651734.0,36.26319885253906,0.0
2023-03-20,42.650001525878906,42.650001525878906,42.04999923706055,42.25,1396005.0,35.923099517822266,0.0
2023-03-21,42.25,42.650001525878906,41.650001525878906,41.70000076293945,1420556.0,35.45545959472656,0.0
2023-03-22,41.54999923706055,42.25,41.54999923706055,41.95000076293945,1118279.0,35.66802215576172,0.0
2023-03-23,42.04999923706055,42.29999923706055,41.54999923706055,42.25,1915595.0,35.923099517822266,0.0
2023-03-24,42.20000076293945,42.650001525878906,42.04999923706055,42.25,661266.0,35.923099517822266,0.0
2023-03-27,42.25,42.75,42.0,42.29999923706055,769862.0,35.965606689453125,0.0
2023-03-28,42.599998474121094,42.599998474121094,42.0,42.400001525878906,860116.0,36.05064010620117,0.0
2023-03-29,42.5,42.70000076293945,42.04999923706055,42.25,652613.0,35.923099517822266,0.0
2023-03-30,42.150001525878906,42.650001525878906,42.0,42.25,922984.0,35.923099517822266,0.0
2023-03-31,42.400001525878906,42.849998474121094,42.25,42.70000076293945,1181250.0,36.30571365356445,0.0
2023-04-03,42.70000076293945,43.150001525878906,42.400001525878906,42.70000076293945,811229.0,36.30571365356445,0.0
2023-04-04,42.400001525878906,43.0,42.400001525878906,42.599998474121094,637834.0,36.22068786621094,0.0
2023-04-06,42.54999923706055,43.150001525878906,42.45000076293945,43.150001525878906,740572.0,36.68832778930664,0.0
2023-04-11,43.599998474121094,43.95000076293945,43.04999923706055,43.349998474121094,1407038.0,36.858375549316406,0.0
2023-04-12,43.54999923706055,43.849998474121094,43.45000076293945,43.75,949760.0,37.1984748840332,0.0
2023-04-13,43.75,43.900001525878906,43.349998474121094,43.900001525878906,757414.0,37.32601547241211,0.0
2023-04-14,44.0,44.150001525878906,43.900001525878906,44.150001525878906,706240.0,37.53857421875,0.0
2023-04-17,44.099998474121094,44.650001525878906,43.75,44.5,883997.0,37.83616256713867,0.0
2023-04-18,44.150001525878906,44.54999923706055,43.70000076293945,43.79999923706055,861092.0,37.24098587036133,0.0
2023-04-19,44.099998474121094,44.150001525878906,43.70000076293945,43.849998474121094,690831.0,37.28350067138672,0.0
2023-04-20,43.849998474121094,43.849998474121094,43.54999923706055,43.70000076293945,567087.0,37.15596389770508,0.0
2023-04-21,44.099998474121094,44.400001525878906,43.599998474121094,43.849998474121094,601034.0,37.28350067138672,0.0
2023-04-24,43.95000076293945,44.04999923706055,43.650001525878906,43.900001525878906,574772.0,37.32601547241211,0.0
2023-04-25,43.900001525878906,44.0,43.54999923706055,43.650001525878906,750027.0,37.11345291137695,0.0
2023-04-26,43.650001525878906,44.400001525878906,43.650001525878906,44.150001525878906,775310.0,37.53857421875,0.0
2023-04-27,43.95000076293945,44.5,43.95000076293945,44.45000076293945,525174.0,37.79365539550781,0.0
2023-04-28,44.400001525878906,44.70000076293945,44.400001525878906,44.599998474121094,990862.0,37.92119216918945,0.0
2023-05-02,44.650001525878906,45.29999923706055,44.650001525878906,45.20000076293945,1085382.0,38.43134307861328,0.0
2023-05-03,44.900001525878906,45.349998474121094,44.849998474121094,45.099998474121094,847046.0,38.3463134765625,0.0
2023-05-04,45.400001525878906,46.400001525878906,45.099998474121094,46.150001525878906,1370860.0,39.239078521728516,0.0
2023-05-05,46.20000076293945,46.75,45.849998474121094,46.75,1037575.0,39.749229431152344,0.0
2023-05-08,46.849998474121094,47.29999923706055,46.5,46.75,2196056.0,39.749229431152344,0.0
2023-05-09,46.75,46.79999923706055,46.20000076293945,46.5,1789222.0,39.53666305541992,0.0
2023-05-10,46.70000076293945,46.70000076293945,46.29999923706055,46.54999923706055,1112904.0,39.57917785644531,0.0
2023-05-11,46.650001525878906,47.0,45.75,46.75,1353380.0,39.749229431152344,0.0
2023-05-12,46.650001525878906,46.70000076293945,46.349998474121094,46.54999923706055,1347840.0,39.57917785644531,0.0
2023-05-15,46.54999923706055,46.70000076293945,46.45000076293945,46.70000076293945,1050863.0,39.70671463012695,0.0
2023-05-16,46.650001525878906,47.20000076293945,46.5,46.70000076293945,1161699.0,39.70671463012695,0.0
2023-05-17,46.5,46.650001525878906,46.29999923706055,46.599998474121094,1125676.0,39.62168502807617,0.0
2023-05-18,46.79999923706055,46.79999923706055,46.400001525878906,46.54999923706055,1312907.0,39.57917785644531,0.0
2023-05-19,46.54999923706055,46.54999923706055,46.04999923706055,46.099998474121094,2024462.0,39.196563720703125,0.0
2023-05-22,44.0,44.150001525878906,42.25,42.45000076293945,3071089.0,37.58514404296875,1.83
2023-05-23,42.5,42.599998474121094,41.150001525878906,41.25,3267182.0,36.522666931152344,0.0
2023-05-24,41.5,42.29999923706055,41.25,42.20000076293945,1261589.0,37.363792419433594,0.0
2023-05-25,41.849998474121094,43.0,41.75,42.849998474121094,2044406.0,37.93929672241211,0.0
2023-05-29,42.849998474121094,43.5,42.75,43.20000076293945,1309067.0,38.24919128417969,0.0
2023-05-30,43.0,43.20000076293945,42.349998474121094,42.900001525878906,1535603.0,37.98357009887695,0.0
2023-05-31,42.95000076293945,43.5,42.900001525878906,43.29999923706055,4109993.0,38.33772659301758,0.0
2023-06-01,43.29999923706055,43.29999923706055,42.54999923706055,43.0,1432996.0,38.07210922241211,0.0
2023-06-02,43.0,43.75,42.150001525878906,42.25,2094126.0,37.40806198120117,0.0
2023-06-05,42.20000076293945,43.54999923706055,42.20000076293945,43.54999923706055,954481.0,38.559078216552734,0.0
2023-06-06,43.20000076293945,43.70000076293945,42.900001525878906,43.0,1117986.0,38.07210922241211,0.0
2023-06-07,43.20000076293945,43.25,42.650001525878906,42.79999923706055,1266993.0,37.89502716064453,0.0
2023-06-08,42.79999923706055,42.95000076293945,41.79999923706055,42.04999923706055,1503610.0,37.23098373413086,0.0
2023-06-09,41.95000076293945,42.70000076293945,41.900001525878906,42.54999923706055,1114848.0,37.67367935180664,0.0
2023-06-12,42.400001525878906,42.849998474121094,42.0,42.25,1075186.0,37.40806198120117,0.0
2023-06-13,42.099998474121094,42.5,42.0,42.29999923706055,892241.0,37.452327728271484,0.0
2023-06-14,42.45000076293945,42.45000076293945,41.70000076293945,41.75,1175654.0,36.965362548828125,0.0
2023-06-15,42.0,42.0,41.54999923706055,41.79999923706055,985328.0,37.0096321105957,0.0
2023-06-16,41.54999923706055,42.650001525878906,41.54999923706055,42.25,2641052.0,37.40806198120117,0.0
2023-06-19,42.45000076293945,42.75,42.099998474121094,42.5,891332.0,37.62941360473633,0.0
2023-06-20,42.25,42.79999923706055,42.25,42.5,756921.0,37.62941360473633,0.0
2023-06-21,42.45000076293945,42.45000076293945,41.79999923706055,41.849998474121094,636179.0,37.05390548706055,0.0
2023-06-23,41.650001525878906,41.75,41.04999923706055,41.150001525878906,1068200.0,36.43412399291992,0.0
2023-06-26,41.25,41.599998474121094,40.650001525878906,40.75,1587381.0,36.07996368408203,0.0
2023-06-27,40.75,41.650001525878906,40.650001525878906,41.349998474121094,909722.0,36.6112060546875,0.0
2023-06-28,41.150001525878906,41.75,41.150001525878906,41.650001525878906,488453.0,36.87682342529297,0.0
2023-06-29,41.849998474121094,42.099998474121094,41.29999923706055,41.650001525878906,791829.0,36.87682342529297,0.0
2023-06-30,41.70000076293945,41.900001525878906,41.45000076293945,41.45000076293945,799299.0,36.69974136352539,0.0
2023-07-03,41.45000076293945,42.04999923706055,41.400001525878906,41.75,931643.0,36.965362548828125,0.0
2023-07-04,42.04999923706055,42.04999923706055,41.54999923706055,41.849998474121094,532290.0,37.05390548706055,0.0
2023-07-05,41.70000076293945,41.849998474121094,41.349998474121094,41.349998474121094,387246.0,36.6112060546875,0.0
2023-07-06,41.29999923706055,41.75,40.5,40.650001525878906,1761520.0,35.99142837524414,0.0
2023-07-07,41.150001525878906,41.150001525878906,39.95000076293945,39.95000076293945,943339.0,35.37165069580078,0.0
2023-07-10,40.25,40.900001525878906,40.04999923706055,40.29999923706055,789052.0,35.68153381347656,0.0
2023-07-11,40.400001525878906,40.54999923706055,40.0,40.0,1760787.0,35.415916442871094,0.0
2023-07-12,40.0,40.20000076293945,39.650001525878906,39.900001525878906,1387424.0,35.3273811340332,0.0
